"taxonobservation_id","observation_type","scrubbed_family","scrubbed_species_binomial","latitude","longitude","elevation_m","country","state_province","county","locality_description","plot_name","is_new_world","is_geovalid","event_date","date_collected","plot_sampling_protocol","identified_by","datasource","datasource_id","dataset","dataowner","custodial_institution_codes","collection_code","collector","collection_number","is_cultivated","nsr_native_status","nsr_is_introduced",
"58291026","specimen","Bignoniaceae","Chilopsis linearis","34.259999999999998","-112.730000000000004","1360","United States","Arizona","Yavapai","Kirkland Creek","","1","1","","1967-10-28","","","GBIF","397","ASU","ASU","ASU","ASUPlants","David J. Keil","","","P","0",
"58167821","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Pima County","Tucson","","","","","1891-07-16","","","GBIF","397","ASU","ASU","ASU","ASUPlants","J. W. Toumey","","","","",
"58050925","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Yavapai County","Mile Marker 296, Route 179 north of Camp Verde","","","","","1973-06-23","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Richard K. Brown","","","","",
"57985351","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Graham County","Box Spring up canyon from Bonita","","","","","1968-07-17","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Jan C. Lewis","","","","",
"37133428","specimen","Bignoniaceae","Chilopsis linearis","","","1185","United States of America","Utah","Washington Co.","Indian Springs Road, 0.3 mile north of road to Beaver Dam Wash; habitat: Gravelly soil; Yucca brevifolia-Opuntia Coleogyne community","","","","","1983-06-09","","J. Henrickson","NY","104","NY","NY","NY","Herbarium","L. C. Higgins","13668","","","",
"36641643","specimen","Bignoniaceae","Chilopsis linearis","","","","United States of America","Utah","Washington Co.","Terry's Ranch (Snow's Ranch); Beaver Dam Wash","","","","","1976-10-09","","J. Henrickson","NY","104","NY","NY","NY","Herbarium","S. L. Welsh","14608","","","",
"31321945","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","CA","Riverside County","Riverside; e. base San Jacinto Mts.; Colorado Desert, e. base San Jacinto Mts.","","","","","","","","GBIF","1021","UCJEPS","UCJEPS","UCJEPS","JEPS","H. M. Hall","","","","",
"30786087","specimen","Bignoniaceae","Chilopsis linearis","34.4552800000000019","-114.458060000000003","202","United States","California","San Bernardino","Whipple Mountains: Chemehuevi Wash between powerline road and Lake Havasu. Gravelly wash.","","1","1","","2004-05-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","Sarah J. De Groot","","","P","0",
"30612199","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","CA","San Bernardino County","San Bernardino; Victorville; near Victorville","","","","","","","","GBIF","1021","UCJEPS","UCJEPS","UCJEPS","UC","E. P. Killip","","","","",
"19083121","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Doña Ana","East of State College","","","","","1937-05-28","","J. Henrickson","GBIF","1424","NMC","NMC","NMC","Herb","A.R. Leding","","","","",
"18981237","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Doña Ana","Mesa near Las Cruces.","","","","","1893-06-04","","J. Henrickson","GBIF","1424","NMC","NMC","NMC","Herb","E.O. Wooton","","","","",
"58404403","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","Arizona","","[Locality information hidden to protect endangered species]","","1","","","1941-06-10","","J. Henrickson, 1985 (CSLA)","MO","281","MO","MO","MO","","Johnson","8582","0","P","0",
"22698445","specimen","Bignoniaceae","Chilopsis linearis","33.7460013444075031","-105.456605461116993","","United States","New Mexico","Lincoln","Wash across Rd. from Mocking Bird Gap to OScuro on the North center side of Section 33, Township 9 south, Range 6 East.","","1","","","1947-08-07","","J. Henrickson, 1985 (CSLA)","MO","281","MO","MO","MO","","David B. Dunn","3134","0","P","0",
